Organisation,Org_URL,Country,Industry,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Size,Tags,Leak_Links
NewYorker,https://newyorker.de,Germany,Retail,"Dec 28, 2022",Marketing Data|Financial Records|Customer Data |Operations,"NewYorker is a clothing company that is headquartered in Braunschweig, Germany. The company owns 1000 branches that are located in 40 countries. The company has also developed into a internationally active textile trading group.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/newyorker.de/,Bianlian,$4 Billions,340 GB,germany|apparel|retail,/dl/NewYorker_Data_tree.txt
N****,Hidden,Mexico,Manufacturing,"Dec 23, 2022",Operations||Server & DB backups|Customer Data | Employee Data,Manufacturer of fire protection products.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/n____.com/,Bianlian,$54 Millions,560 GB,usa|mexico,Hidden
Lawadami,https://lawadami.com,United States of America,Law,"Dec 20, 2022",Customer Data|Operations|Others,"Texas based law firm engaged in a diversified practice in the practice areas of civil litigation, insurance defense, workers’ compensation, construction defect, premises liability and first party litigation",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/lawadami.com/,Bianlian,$5 Millions,500 GB,usa|law,/dl/lawadami.com.z01
HRL Technology Group,https://hrlt.com.au,Australia,Engineering,"Dec 20, 2022",Marketing Data|Operations|Company Projects,"HRL Technology Group is a leading analytical laboratory, specialist engineering and innovation services company.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/hrlt.com.au/,Bianlian,$7 Millions,400 GB,Australia|engineering|laboratory|innovation,/dl/hrlt.com.au.txt
SEMITEC Corporation,https://semitec.vn,Japan,Manufacturing,"Dec 18, 2022",Financial Records|Customer Data|System & DB backups,"Semitec Vietnam (SEV) is the 15th subsidiary of Semitec Corporation, headquartered in Japan. The company specializes in manufacturing electronics, sensors.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/semitec.vn/,Bianlian,$155 Millions,150 GB,japan,/dl/semitec.vn_semitec.vn.txt
Myofficeplace Inc,https://myofficeplace.net,Canada,Information Technology,"Dec 13, 2022",Server Data|Marketing Data|Financial Records|Customer Data,"Managed, Dedicated enterprise-class Cloud hosting for businesses. Citrix Hosting, Virtual Servers.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/myofficeplace.net/,Bianlian,NA,506 GB,canada|hosting,/dl/myofficeplace.net.txt
MITCON Consultancy & Engineering Services,https://www.mitconindia.com/,India,Engineering,"Dec 11, 2022",Finance Records|Company Projects|Employee Data|Sever Data,"Established in 1982 in Pune, Mitcon is a renowned Indian Technical Consulting Organization (TCO) offering One Stop Solution for all your technical, marketing & financial business requirements.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/mitconindia.com/,Bianlian,$46 Millions,110 GB,india|engineering,/dl/mitcon_data_list.txt
St Rose Hospital,https://www.strosehospital.org,United States of America,Healthcare,"Dec 2, 2022",Company Projects|Operations|Financial Records|Customer Data|Employee Data|Server Data|Communication Records|Medical Records|Others,"St. Rose Hospital is an hospital located in Hayward, California. It is a designated cardiac arrest receiving center in the Alameda County emergency medical services system, and provides basic emergency medical services.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/strosehospital.org/,Bianlian,$100 Millions,17 TB,usa|healthcare,/dl/strosehospital.org.txt
Australian Real Estate Group Pty Ltd,https://areg.com.au,Australia,Real Estate,"Nov 29, 2022",Financial Records|Server Data|Employee Data|Server Data|Marketing Data,Australian Real Estate Group Pty Ltd is a company focused on all things real estate.,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/areg.com.au/,Bianlian,$5 Millions,200 GB,au,/dl/areg.com.au.txt
ZXP Technologies,https://zxptech.com,United States of America,Information Technology,"Nov 27, 2022","Financial Records|Server Data|Company Projects|Marketing Data|Customer Data|Server Data|Patents, License and Copyrights","ZXP Technologies provides blending, packaging and world wide distribution of premium, mineral oil based and synthetic lubricants, fuel treatments, antifreeze, automotive care, agricultural chemical and bulk powder products.",http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/zxptech.com/,Bianlian,$120 Millions,82 GB,usa|it,/dl/zxptechnologies_data_list.txt
