Organisation,Org_URL,Country,Pub_Date,Leak_Type,Description,Ransom_URL,Ransom_Group,Org_Revenue,Leak_Links
pu.edu.lb,https://pu.edu.lb,NA,22/12/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Phoenicia University (PU) is a non-profit, private, and nonsectarian officially licensed institution of higher education. The University comprises six colleges: Architecture and Design, Arts and Sciences, Business, Engineering, Law and Political Science, and Public Health. PU campus is located in the District of Zahrani, in the Southern Governorate of Lebanon, only a 40-minute drive from Beirut International Airport. PU is currently deemed as one of the fastest growing higher education institutions in the country.The University’s dedication towards educational equality and equity is underpinned by the University’s moral obligation to make quality education accessible to all. PU provides an outstanding level of education that values innovation in learning and teaching, thus preparing new generations of students to become job-ready graduates and lead in their chosen fields. This outstanding level of education is provided by faculty members and overseen by deans who have been selected for their distinguished academic backgrounds and international expertise.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/pu.edu.lb,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Sae-a,http://www.sae-a.com,NA,17/12/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"From yarn-production through its fabric mills that draw on in new innovation and technology, to retail operations in Korea, SAE-A has become one of the few apparel manufacturers capable of achieving complete vertical-integration of its supply chain. For SAE-A, business means being a member of the community. The company engages in community activities and corporate social responsibility both locally and across all of its operations. It provides personal advancement and career growth opportunities for associates, holds itself to stringent environmental standards, and supports local medical and educational programs. Being a model corporate citizen is of the utmost importance to SAE-A.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Sae-a,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
2networkit,http://2networkit.com/,NA,07/12/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"2Networkit.com inc. focuses mainly on I.T. (Information Technology) Remote access design and implementation, I.T. Consultation and Web hosting. The president Marc Villeneuve has over 25 years experience in the IT industry and has been hired in the past by giants such as IBM Canada, The House of Commons and the City of Ottawa.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/2networkit,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Generator-power,https://generator-power.co.uk,NA,22/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Power Generator HireWe have one of the widest ranges in the UK, with generators and ancillary equipment that can handle anything from a planned event to an emergency power shortage.. Emergency responseWherever you are in the UK, we have the equipment, vehicles and network of depots to solve your power problems.. Project ManagementWe’re experts. So many of our clients ask us for advice. We’re happy to do site surveys and act as consultants to help you work smarter and save more money.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Generator-power,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Landaumedia,https://www.landaumedia.de,NA,24/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Landau Media is one of the leading players in the field of media monitoring, press review services, and media analysis in Germany.. Thanks to our in-house analysis technology, we can search the media landscape across all media types. We do so not only across Germany, but also on an international level. To cope with the digital transformation, we are constantly adapting our media panel to the rapid changes within the media industry and therefore further expand our customer platform.. More than 10,000 global customers already use our services and digital solutions. We monitor print media, TV, radio, online media including social media and even podcasts and TikTok!. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Landaumedia,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Boss-inc,http://www.boss-inc.biz,NA,23/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"BOSS is made up of a team of educated, experienced professionals who are passionate about assisting human service organizations with the often tedious tasks most people don’t like to do – and perhaps, don’t know how to do. The BOSS team is a group of industry experts who have a combined history of 70 years of experience working with the following types of human service organizations:. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Boss-inc,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Patton,https://www.patton.com/,NA,28/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"We Built Patton to Solve Two ProblemsMaking Connections: Our mission is to connect real-world customer challenges with high-quality, right-priced technology solutions. Our passion is to help our customers solve problems--and we win their hearts by combining high value products and solutions with unrivaled customer service and technical support. Patton is all about connections.. Keeping up with Change: Technologies converge and networks consolidate; applications; and services diversify and specialized needs emerge in various vertical markets and geographic locations. What was new has become old and Patton helps keep the transitions systematic and orderly by focusing on our customer's needs, developing new technologies that drive into the future while maintaining core technologies that can provide the bridge.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Patton,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
waltersandwolf,https://waltersandwolf.com,NA,04/11/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"We are disciplined in practicing the Toyota production system, growing and building lean thinkers focused on adding more value to our customers, both internally and externally. You can learn from our system with over 6,000 videos in our content library.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/waltersandwolf,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
bfw,https://www.bfw.de,NA,18/10/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"Sie möchten eine Umschulung machen und sich beruflich weiterentwickeln? Sie benötigen eine Weiterbildung, um mit der rasanten Entwicklung des digitalisierten Arbeitsmarktes Schritt halten zu können? Sie haben persönliche berufliche Ziele, die Sie gerne noch erreichen möchten?. Dann sind Sie bei uns im bfw – Unternehmen für Bildung genau richtig. Wir bilden Sie für Ihren Beruf aus und qualifizieren Sie weiter. An über 200 Standorten beraten und schulen wir Sie individuell – unsere Dozentinnen und Dozenten sind Spezialisten im regionalen Arbeitsmarkt. Dadurch schaffen wir für Sie die besten Berufschancen in Ihrer Region und Sie profitieren von unseren hohen Vermittlungsquoten. Mit auf dem Arbeitsmarkt anerkannten Zertifikaten bekommen Sie die optimale Basis für Ihren Erfolg und Ihre persönliche Entwicklung.Aufgrund unserer langen Tradition vertreten wir Werte, die Sie als Mensch in den Mittelpunkt unseres Wirken und Handelns stellen. Ihre Bedürfnisse stehen bei uns immer an erster Stelle – das versprechen wir Ihnen.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/bfw,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
Dialogsas,http://www.dialogsas.fr/,NA,15/10/2022,Financial documents|correspondence with bank employees|account movements|balance sheets|tax documents|compensation|source code,"CERTIFICATION ISO 9001 V2015. Le certificat ISO 9001 v2015 de DIALOG, pour les activités Logistique Industrielle, stockage, emballage, confinement et transport a été renouvelé pour une durée de 3 ans. Il est désormais valide jusqu’au 28 janvier 2024.. ",http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/company/Dialogsas,Cuba,NA,https://kcfgfs7cclscxloy3bf2xtwnayimawtzrbfirfbvl47xt7n2brfiizyd.onion
